Date,Incident ID,Assigned To,Incident Description,Proposed Fix,Status,Reopened,Aging,Priority
10/10/2010,INC001,Amit ,I am not able to login to my  system.,Login page ,Closed,No,220,P2
10/11/2010,INC002,,How to reset the password?,Password reset page,Closed,No,220,P3
10/12/2010,INC003,,What is my  login ID?,login ID page,Closed,No,220,P2
10/13/2010,INC004,,How do I create new user?,Create user/Subscription page,Closed,No,220,P1
,INC005,,Where can I check which email I used for subscription,Email settings page,,,,
,INC006,,How can I subscribe to this application?,Subscription page,,,,
,INC007,,How To renew the subscription?,Subscription renewal page,,,,
10/14/2010,INC008,,How many users are supported per subscription?,Per subscription limit for users,Closed,No,220,P3
10/15/2010,INC009,,How many devices are supported per subscription?,Per subscription limit for devices,Closed,No,220,P3
10/16/2010,INC010,,Can same subscription work in different geographical locations?,Supported regions,Closed,No,220,P3
10/17/2010,INC011,,What devices the application supports?,"Environment details: The application is supported on IOS (2.0, 5.3,6.4, 9.1)and Androids(10.1,10.2,13.5,13.6,15.1)",Closed,No,220,P3
10/18/2010,INC012,,How can I upgrade my plan to premium?,Subscription plans page,Closed,No,220,P4
10/19/2010,INC013,,Can I change the plan I am using currently?,Subscription plans page,Closed,No,220,P5
,INC014,,"The ABT001 application is not loading, though I have internet connection.",Troubleshoot page,Closed,No,,
,INC015,,What are the current offers?,Offer page,Closed,No,,
,INC016,,How to revoke access?,Subcription revoke page,Closed,No,,
,INC017,,Issue with update on application center.,Application Center,,,,
,INC018,,Issue with pricing page,Pricing Page,,,,
,INC019,,Error when updating price for product1 app1,Price for In App1,,,,
,INC020,,Error when updating price for product2 app1,Price for In App1,,,,
,INC021,,Error when updating price for product1 app2,Price for In App2,,,,
,INC022,,Error when updating price for product1 app3,Price for In App3,,,,
,INC023,,Unable to add new project in VS,New project In Vs,,,,
,INC024,,Issue when adding new project in RAS,New project In Ras,,,,
,INC025,,Issue when adding new local project in RAS,Local project In Ras,,,,
,INC026,,Activate custome CID001,Activate customer,,,,
,INC027,,Deactivate customer CID010,Deactivate customer,,,,
,INC028,,Issue while editing App1,Edit issue App1,,,,
,INC029,,Issue while editing App2,Edit issue App2,,,,
,INC030,,Issue while editing App3,Edit issue App3,,,,
,INC031,,Error when editing word doc,Edit Word Doc,,,,
,INC032,,Error when importing pics in doc,In Doc,,,,
,INC033,,Error when editing excel sheet,Excel Sheet,,,,
,INC034,,Calculation is wrong in App1,Calculation error,,,,
,INC035,,App2 is returning wrong sum,Wrong Sum,,,,
,INC036,,"The product App2 ia returning, does not match",Returning does In Match,,,,
,INC037,,Wrong calculation,Calculation error,,,,
,INC038,,"App1,App2 reconsilation difference",reconsilation difference,,,,
,INC039,,"App1,App3 reconsilation difference",reconsilation difference,,,,
,INC040,,"App3,App2 reconsilation difference",reconsilation difference,,,,
,INC041,,Display is not working,Rendering issue,,,,
,INC042,,App1 is not rendering index page,Rendering issue,,,,
,INC043,,App2 is not rendering index page,Rendering issue,,,,
,INC044,,App3 is not rendering index page,Rendering issue,,,,
,INC045,,Not able to get the product details using product code.,Details using In Code.,,,,
,INC046,,Not able to update product details using product code,Details using In Code,,,,
,INC047,,Not able to delete product details using product code,Details using In Code,,,,
,INC048,,The product barcode is not readable,Barcode,,,,
,INC049,,Barcode is reading wrong product details,Barcode,,,,
,INC050,,Product discription summary is wrong,Wrong summery,,,,
,INC051,,How to add summary for problem description on support page,Process information,,,,
,INC052,,Duplicate value error,Process information,,,,
,INC053,,Duplicate product error,Process information,,,,
,INC054,,Duplicate customer error,Process information,,,,
,INC055,,Duplicate order error,Process information,,,,
,INC056,,Not able to raise visa request,Process information,,,,
,INC057,,How to raise visa request?,Process information,,,,
,INC058,,From where to raise visa request?,Process information,,,,
,INC059,,Who can approve migration request?,Process information,,,,
,INC060,,System crased,Process information,,,,
,INC061,,Incorrect system behaviour,Process information,,,,
,INC062,,System is not coming up,Process information,,,,
,INC063,,I have lost all data from my machine,Process information,,,,
,INC064,,How to recover lost data?,Process information,,,,
,INC065,,Duplicate error INC001 ,Process information,,,,
,INC066,,Duplicate error INC002,Process information,,,,
,INC067,,Duplicate error INC003,Process information,,,,
,INC068,,Runtime error for app1,Process information,,,,
,INC069,,Runtime error for app2,Process information,,,,
,INC070,,Runtime error for app3,Process information,,,,
,INC071,,App1 credential reset,Process information,,,,
,INC072,,App2 credential reset,Process information,,,,
,INC073,,App3 credential reset,Process information,,,,
,INC074,,Not getting notifications ,Process information,,,,
,INC075,,Not getting submit notifications,Process information,,,,
,INC076,,Not getting email notifications,Process information,,,,
,INC077,,Not getting meeting notifications,Process information,,,,
,INC078,,Not able to create new meeting,New Meeting,,,,
,INC079,,Loading error - ESS page,Loading error,,,,
,INC080,,Loading error - Accounts page,Loading error,,,,
,INC081,,Loading error - Human Resources page,Loading error,,,,
,INC082,,Loading error - Procurement page,Loading error,,,,
,INC083,,Loading error - Support page,Loading error,,,,
,INC084,,Loading error - Warehouse page,Loading error,,,,
,INC085,,Loading error - Inventory page,Loading error,,,,
,INC086,,Loading error - Sales page,Loading error,,,,
,INC087,,Loading error - Distribution page,Loading error,,,,
